,id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners
0,98664,000002.XSHE,2016-06-30,2016-08-22,2016-06-30,60183982080.0,60183982080.0,,,,52883398656.0,45149790208.0,,,,,,,,5019219456.0,1318625280.0,1033646592.0,185309264.0,176807744.0,,957421312.0,1186523648.0,,8258004480.0,57616508.0,22546722.0,1998101.0,8293074432.0,2448267008.0,5844807168.0,4518076928.0,1326730112.0,0.405,0.405,-98466888.0,5746340352.0,4406550528.0,1339789952.0
0,133294,000004.XSHE,2018-09-30,2018-10-31,2018-09-30,101687269.45,101687269.45,,,,108985223.92,17114982.82,,,,,,,,1936676.24,80212813.05,7754628.25,-266358.34,0.0,,847778.68,,,-6450175.79,8000.03,2269815.55,,-8711991.31,-4667.55,-8707323.76,-4575575.32,-4131748.44,-0.0545,-0.0545,,-8707323.76,-4575575.32,-4131748.44
0,146903,000004.XSHE,2018-12-31,2019-04-26,2018-12-31,110690219.5,110690219.5,,,,133578140.66,21457000.81,,,,,,,,1754665.41,74131762.0,2338592.07,-454744.62,23050456.38,,-396954.76,,,-15376875.92,-2630169.0,1219255.46,,-19226300.38,-4922253.7,-14304046.68,-17679033.76,3374987.08,-0.2105,-0.2105,,-14456806.34,-17831793.42,3374987.08
0,142,000005.XSHE,2016-03-31,2016-04-27,2016-03-31,43421544.0,43421544.0,,,,50483936.0,21822310.0,,,,,,,,1643963.625,4649399.0,20235382.0,2132883.75,,,,,,-7062394.5,667234.9375,25641.4492,,-6420801.0,,-6420801.0,-6804122.5,383321.7188,-0.0064,-0.0064,,-6420801.0,-6804122.5,383321.7188
0,240,000007.XSHE,2015-03-31,2015-04-30,2015-03-31,27757360.0,27757360.0,,,,33090352.0,5177385.5,,,,,,,,1729307.625,13657225.0,10537684.0,1546250.625,442500.0,,,,,-5332992.0,96470.1875,374227.8125,,-5610750.0,607987.0,-6218737.0,-4866348.5,-1352388.5,-0.0211,-0.0211,-114313.5078,-6333050.5,-4980662.0,-1352388.5
0,239,000007.XSHE,2015-06-30,2015-08-31,2015-06-30,30658110.0,30658110.0,,,,37170464.0,5785642.0,,,,,,,,1915749.125,13873967.0,9884303.0,2954301.5,2756500.0,0.0,4098294.5,,,-2414058.75,194649.5781,740048.4375,,-2959457.75,539275.75,-3498733.5,-2575792.5,-922940.8125,-0.0111,-0.0111,707252.9375,-2791480.5,-1868539.625,-922940.8125
0,237,000007.XSHE,2015-12-31,2016-04-23,2015-12-31,9543502.0,9543502.0,,,,2792466.75,3185728.5,,,,,,,,428084.5312,-1606826.625,6156085.0,984067.75,-6354672.5,0.0,-732827.5,,,6018208.5,11946492.0,-10507649.0,31829.8008,28472350.0,1004972.8125,27467376.0,25681644.0,1785731.5,0.1112,0.1112,2328836.75,29796212.0,28010482.0,1785731.5
0,236,000007.XSHE,2016-03-31,2016-04-30,2016-03-31,8242022.0,8242022.0,,,,14300552.0,2464200.0,,,,,,,,609206.6875,,10700045.0,477061.25,50039.3516,22112578.0,3429230.5,,,19483278.0,3272.3,1771062.625,,17715488.0,6095345.0,11620143.0,7664533.5,3955609.0,0.0332,0.0332,405946.5312,12026089.0,8070480.5,3955609.0
0,98667,000007.XSHE,2016-06-30,2016-08-30,2016-06-30,8921879.0,8921879.0,,,,54746408.0,2720719.0,,,,,,,,318416.3125,,15231469.0,-1438249.875,37914056.0,16639374.0,2231649.5,,,-26953508.0,23862.0996,1262601.625,,-28192246.0,3682550.75,-31874798.0,-34329504.0,2454706.0,0.0135,-0.1487,-2008695.125,-33883492.0,-36338200.0,2454706.0
0,103918,000007.XSHE,2016-12-31,2017-04-19,2016-12-31,10639462.0,10639462.0,,,,24671312.0,4710644.0,,,,,,,,276008.5312,,12869045.0,3475961.25,3339654.0,-48023836.0,120260736.0,,,58205048.0,26108.3809,577742.0,102080.7031,57653412.0,2195033.0,55458380.0,60631240.0,-5172861.0,0.2625,0.2625,-1145760.625,56815208.0,61988068.0,-5172861.0
0,149021,000007.XSHE,2018-12-31,2019-04-30,2018-12-31,10182286.74,10182286.74,,,,53503231.43,3546647.33,,,,,,,,292575.56,,8999120.56,4323.9,40660564.08,,3471899.65,,,-40852603.04,775177.99,147901076.84,,-187978501.89,-482527.03,-187495974.86,-187551431.23,55456.37,-0.545,-0.545,,-187495974.86,-187551431.23,55456.37
0,148797,000007.XSHE,2019-03-31,2019-04-30,2019-03-31,9239141.41,9239141.41,,,,8854210.07,3030822.52,,,,,,,,263261.4,,6821696.88,4733.84,,10498649.94,864260.42,1628884.56,,11747841.7,1200.98,,,11749042.68,2875279.49,8873763.19,8888205.5,-14442.31,0.03,0.03,,8873763.19,8888205.5,-14442.31
0,152988,000007.XSHE,2019-06-30,2019-08-31,2019-06-30,11784297.92,11784297.92,,,,9800460.09,3134974.16,,,,,,,,253028.09,,5153699.24,-7545.97,,8125685.77,-6724375.18,2864696.71,,4700782.16,79736.24,,,-10647357.39,2360284.29,-13007641.68,-12993308.67,-14333.01,-0.04,-0.04,,-13007641.68,-12993308.67,-14333.01
0,194596,000007.XSHE,2020-09-30,2020-10-31,2020-09-30,12298943.17,12298943.17,,,,10574457.7,3658230.27,,,,,,,,259422.85,25605.53,6635972.56,-4773.51,,8723272.15,-7910040.25,12141973.15,,-3327894.86,392570.18,2984.94,,-2938309.62,12783827.7,-15722137.32,-15707315.89,-14821.43,-0.0453,-0.0453,,-15722137.32,-15707315.89,-14821.43
0,204663,000007.XSHE,2020-12-31,2021-04-29,2020-12-31,11537611.03,11537611.03,,,,8021201.49,2607212.06,,,,,,,,307908.12,558757.49,4563953.1,-16629.28,,23558109.68,-39395526.93,,,-79874978.13,-301410.0,23176.11,,-80199564.24,-2791503.13,-77408061.11,-77395329.25,-12731.86,-0.2234,-0.2234,,-99372061.11,-99359329.25,-12731.86
0,283,000008.XSHE,2016-03-31,2016-04-30,2016-03-31,212666576.0,212666576.0,,,,217163712.0,110803968.0,,,,,,,,5623899.0,23394216.0,79633176.0,-226850.9375,-2064707.25,-1382205.5,313327.0938,,,-5566005.5,22179260.0,227333.4375,21745.3691,16385922.0,4872807.5,11513114.0,11592552.0,-79437.7891,0.0029,0.0029,,11513114.0,11592552.0,-79437.7891
0,127893,000008.XSHE,2018-06-30,2018-08-25,2018-06-30,520985188.66,520985188.66,,,,507461433.94,268629735.46,,,,,,,,5700276.84,61372717.4,135275277.29,24475201.52,12008225.43,14811345.59,13665825.47,,,68455281.85,876264.06,105274.08,,69226271.83,15086000.0,54140271.83,50855969.59,3284302.24,0.0181,0.0181,,54140271.83,50855969.59,3284302.24
0,330,000009.XSHE,2016-03-31,2016-04-29,2016-03-31,1388897920.0,1379832192.0,9065782.0,,,1240300032.0,894246848.0,,,,,,,,20721928.0,99747944.0,140897120.0,69817888.0,14868284.0,-7370018.5,-30061706.0,1449987.5,,111166232.0,18149516.0,2411919.0,594668.125,126903832.0,19254732.0,107649104.0,30139112.0,77509984.0,0.02,0.02,-27959400.0,79689704.0,2110606.5,77579096.0
0,125338,000009.XSHE,2018-03-31,2018-04-28,2018-03-31,2033456791.47,2020831898.66,12624892.81,,,1832464397.15,1227391747.48,,,,,,,,80280358.35,179682148.69,214647060.44,115569324.85,14893757.34,-107507949.4,-7883782.92,-2329946.66,,99300944.57,9771001.72,1353867.23,,107718079.06,28525046.94,79193032.12,35233598.66,43959433.46,0.0164,0.0164,-24177955.23,55015076.89,11620197.43,43394879.46
0,378,000010.XSHE,2015-12-31,2016-04-27,2015-12-31,409536512.0,409536512.0,,,,403140864.0,294045184.0,,,,,,,,12341991.0,5326320.5,36528824.0,27968634.0,26929904.0,,6141702.0,,,12537349.0,34627516.0,1013166.25,41716.2305,46151700.0,15702683.0,30449016.0,30677714.0,-228697.9844,0.0495,0.0495,,30449016.0,30677714.0,-228697.9844
0,377,000010.XSHE,2016-03-31,2016-04-29,2016-03-31,121254640.0,121254640.0,,,,157689232.0,88704616.0,,,,,,,,1969562.0,8649653.0,25714104.0,32489146.0,162152.1719,,68054.7891,,,-36366536.0,332896.0,867341.3125,,-36900984.0,-3737187.5,-33163794.0,-32706656.0,-457139.5625,-0.0399,-0.0399,,-33163794.0,-32706656.0,-457139.5625
