,id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end
0,96260,000002.XSHE,2016-06-30,2016-08-22,2016-06-30,79831351296.0,,,,,,,,,,,,-758992896.0,79072362496.0,31158827008.0,,,,,,1616588160.0,11740691456.0,-1967087360.0,42549018624.0,36523343872.0,1831246.75,46285964.0,199183840.0,93286112.0,-3095805952.0,-2755218944.0,668459712.0,7496955904.0,,2881832704.0,3567596544.0,14614845440.0,-17370064896.0,857526720.0,1672826240.0,7576199680.0,3043047424.0,,11476773888.0,7886791680.0,1604260864.0,707531840.0,,9861482496.0,1615291776.0,88557960.0,20857128960.0,-176689.0469,20856950784.0
0,135869,000004.XSHE,2018-09-30,2018-10-31,2018-09-30,101567462.46,,,,,,,,,,,,5072875.78,106645005.79,9729429.61,,,,,,4764043.31,13197830.97,85859591.09,113550894.98,-6905889.19,,,,,,,785652.75,,,,,785652.75,-785652.75,0.0,,,,,0.0,,,,,,0.0,,-7691541.94,124859596.5,122886713.96
0,142616,000004.XSHE,2018-12-31,2019-04-26,2018-12-31,115159470.33,,,,,,,,,,,,1266884.29,116421687.07,20013127.65,,,,,,6719536.17,14438437.84,126129263.86,167300365.52,-50878678.45,,,,,,,16040436.19,,,,,54182629.79,-17286079.79,0.0,0.0,,,,0.0,,,,,,0.0,,-68164758.24,122886713.96,49003296.32
0,142,000005.XSHE,2016-03-31,2016-04-27,2016-03-31,16824370.0,,,,,,,,,,,,24440958.0,41265328.0,27035892.0,,,,,,7960376.0,5820186.5,35742964.0,76559416.0,-35294088.0,,,,,,,,,,,,,,,,30095400.0,,,30095400.0,45000000.0,815984.0,,,45815984.0,-15720584.0,,-51014672.0,127122912.0,76108240.0
0,240,000007.XSHE,2015-03-31,2015-04-30,2015-03-31,28467748.0,,,,,,,,,,,,56070140.0,84537888.0,9090966.0,,,,,,9978794.0,3339338.0,78623608.0,101032704.0,-16494816.0,,,,,,,4420.0,,,,,4420.0,-4420.0,,,,,,,55000000.0,358247.9375,,,55358248.0,-55358248.0,-47120.6094,-71904608.0,74720928.0,2816326.75
0,239,000007.XSHE,2015-06-30,2015-08-31,2015-06-30,31006990.0,,,,,,,,,,,,79870944.0,110877936.0,7499206.5,,,,,,7564880.0,2809430.25,12997719.0,30871236.0,80006696.0,,,,,,,13250.0,,,,143128.8281,156378.8281,-156378.8281,,,,,,,80000000.0,336000.0,,,80336000.0,-80336000.0,8588.46,-477092.8438,-262528.0312,-739620.875
0,237,000007.XSHE,2015-12-31,2016-04-23,2015-12-31,-7241522.0,,,,,,,,,,,301815.5625,263505888.0,256566176.0,-37029432.0,,,,,,2348041.75,798965.0,102135224.0,68252800.0,188313376.0,,,8476.0,13075371.0,,13083847.0,5700.0,,,,-1924629.375,-1918929.375,15002776.0,,,-30000000.0,,,-30000000.0,-45000000.0,470023.375,,,-44529976.0,14529977.0,3462.3101,217849584.0,0.0,217849584.0
0,236,000007.XSHE,2016-03-31,2016-04-30,2016-03-31,8350466.5,,,,,,,,,,,,51754704.0,60105172.0,785556.5625,,,,,,2838892.5,2128545.75,61297260.0,67050256.0,-6945085.5,,3429230.5,,,,3429230.5,574448.875,193779200.0,,,,194353664.0,-190924432.0,,,,,,,,,,,,,-1053.42,-197870560.0,218636320.0,20765754.0
0,96263,000007.XSHE,2016-06-30,2016-08-30,2016-06-30,8616350.0,,,,,,,,,,,,-29504292.0,-20887942.0,4335126.5,,,,,,9347949.0,5087888.5,-38388744.0,-19617782.0,-1270160.625,24000000.0,2231649.5,,,,26231650.0,147901.5469,-21935598.0,,,10000000.0,-11787697.0,38019348.0,,,,,,,15000000.0,633333.3125,,525000.0,16158333.0,-16158333.0,2790.5901,20593642.0,,20593642.0
0,101511,000007.XSHE,2016-12-31,2017-04-19,2016-12-31,14109901.0,,,,,,,,,,,,604836.75,14714738.0,4359501.0,,,,,,4186487.0,2518585.0,-4053568.75,7011004.0,7703734.0,-22050000.0,38354040.0,,60212356.0,22102.8496,76538496.0,-28783.3105,56590152.0,,,-10000000.0,46561368.0,29977130.0,,,,,,,-15000000.0,-38000.0,,14475000.0,-563000.0,563000.0,-8746.5703,38235116.0,,38235116.0
0,144731,000007.XSHE,2018-12-31,2019-04-30,2018-12-31,12507405.34,,,,,,,,,,,,406480.07,12913885.41,3892873.0,,,,,,2881863.18,793905.77,6065719.06,13634361.01,-720475.6,,383700.84,,2894052.63,-2885531.58,392221.89,44246.28,-64175993.32,,,,520186.28,-127964.39,,,,,,,,,,,,,,-848439.99,7466652.68,6618212.69
0,144507,000007.XSHE,2019-03-31,2019-04-30,2019-03-31,9810170.74,,,,,,,,,,,,15419727.0,25229897.74,766610.44,,,,,,3063265.11,796039.21,6536851.42,11162766.18,14067131.56,,,,,,,,9992963.2,,,,9992963.2,-9992963.2,,,,,,,,,,,,,,4074168.36,6618212.69,10692381.05
0,149471,000007.XSHE,2019-06-30,2019-08-31,2019-06-30,11408635.05,,,,,,,,,,,,-1837955.17,9570679.88,2188059.1,,,,,,5005535.89,1087304.02,-115743.73,8165155.28,1405524.6,,,,,,,,889935.75,,,,895905.75,448685.36,,,,,,,,,,,,,,1854209.96,10692381.05,12546591.01
0,196184,000007.XSHE,2020-09-30,2020-10-31,2020-09-30,13882766.19,,,,,,,,,,,,1067999.09,14950765.28,2158537.94,,,,,,4070575.65,874963.54,7553919.46,14657996.59,292768.69,,,0.0,,0.0,0.0,32681.34,-2165655.35,,,,-2132974.01,2132974.01,,,,,,,,,,,,,,2425742.7,17674513.07,20100255.77
0,221051,000007.XSHE,2020-12-31,2021-04-29,2020-12-31,10533126.32,,,,,,,,,,,,-763622.76,9769503.56,2496054.54,,,,,,3234164.71,1668988.37,-2694078.63,4705128.99,5064374.57,,,12500000.0,,0.0,219918819.82,149780.41,193888944.52,,,,194038724.93,25880094.89,,,,,,,,,,,,,,30944469.46,20100255.77,51044725.23
0,283,000008.XSHE,2016-03-31,2016-04-30,2016-03-31,287084992.0,,,,,,,,,,,16732529.0,346058336.0,649875840.0,158129408.0,,,,,,103697688.0,54268460.0,308051872.0,624147456.0,25728424.0,173615952.0,450904.625,20.0,,,174066880.0,9059689.0,139800000.0,,1593113088.0,,1741972864.0,-1567905920.0,2177177344.0,,30000000.0,,,2207177216.0,26254238.0,1386364.625,,12439682.0,40080284.0,2167097088.0,104351.3906,625023872.0,414650976.0,1039674816.0
0,129173,000008.XSHE,2018-06-30,2018-08-25,2018-06-30,399848442.91,,,,,,,,,,,3987481.22,256229758.59,660065682.72,587387844.45,,,,,,114629109.96,91883672.96,336741030.91,1130641658.28,-470575975.56,1468632755.79,28108191.25,1883000.0,,0.0,1498623947.04,6047919.96,893985767.82,,12148690.64,-64227504.49,847954873.93,650669073.11,,,662009400.0,,,662009400.0,438809797.37,152109207.12,,0.0,590919004.49,71090395.51,538255.56,251721748.62,722370478.76,901115650.94
0,330,000009.XSHE,2016-03-31,2016-04-29,2016-03-31,1348500224.0,,,,,,,,5343636.5,,,8182927.0,684496000.0,2046522752.0,866273024.0,4647782.5,,,,,178695664.0,153781344.0,759005632.0,1962403456.0,84119344.0,478923488.0,14885342.0,8532635.0,,,502341472.0,161780080.0,1260111872.0,,,,1421891968.0,-919550464.0,97240200.0,97240200.0,1115112576.0,1000000000.0,,2212352768.0,1562181248.0,139065168.0,,14939500.0,1716185984.0,496166880.0,-1131516.75,-340395776.0,3629441792.0,3289046016.0
0,126208,000009.XSHE,2018-03-31,2018-04-28,2018-03-31,1802654988.78,,,,,,,,13195205.45,,,4155773.46,551164647.91,2371170615.6,924861549.01,726538.75,,,2352624.34,,282949360.08,270341770.84,789176282.79,2270408125.81,100762489.79,882777506.56,3193482.96,590995.12,,6321859.11,892883843.75,359299922.03,849720424.75,,,,1209020346.78,-316136503.03,27185500.0,27185500.0,1741059992.98,,,1768245492.98,1823997748.86,145887972.11,,,1969885720.97,-201640227.99,-15330309.44,-432344550.67,3717560727.35,3285216176.68
0,378,000010.XSHE,2015-12-31,2016-04-27,2015-12-31,77775080.0,,,,,,,,,,,,264257616.0,342032704.0,227155424.0,,,,,,-93989736.0,8458109.0,267403552.0,409027328.0,-66994644.0,,,22689534.0,0.0,,22689534.0,2070316.0,6000000.0,,421036704.0,,429107008.0,-406417504.0,813400000.0,,970600000.0,,3080856.75,1787080832.0,225965040.0,14374253.0,,161859008.0,402198304.0,1384882560.0,,911470400.0,0.0,911470400.0
0,377,000010.XSHE,2016-03-31,2016-04-29,2016-03-31,191471680.0,,,,,,,,,,,,595078592.0,786550272.0,283307584.0,,,,,,24269400.0,14369031.0,494724960.0,816670976.0,-30120720.0,6000000.0,68054.7891,,,,6068055.0,4055577.0,,,,,4055577.0,2012477.75,,,169500000.0,,4466000.0,173966000.0,733100032.0,43889480.0,,,776989504.0,-603023488.0,,-631131712.0,1095513984.0,464382240.0
0,102179,000010.XSHE,2016-12-31,2017-04-22,2016-12-31,250198112.0,,,,,,,,,,,,-183718592.0,66479512.0,47415904.0,,,,,,24198194.0,4541764.5,-115541192.0,-39385336.0,105864848.0,,,15000.0,,,15000.0,6891450.5,,,,,6891450.5,-6876450.5,,,131000000.0,,-15000000.0,116000000.0,72500000.0,8205919.0,,219332240.0,300038176.0,-184038160.0,,-85049768.0,,-85049768.0
0,108417,000010.XSHE,2017-06-30,2017-08-29,2017-06-30,-30706526.0,,,,,,,,,,,2536512.75,-132546056.0,-160716064.0,-12519339.0,,,,,,11550918.0,31363186.0,-8116583.0,22278180.0,-182994256.0,,,,,,,708469.4375,50000000.0,,,,50708468.0,-50708468.0,19800000.0,,258150000.0,,279867296.0,557817280.0,73500000.0,7692579.0,,244040000.0,325232576.0,232584736.0,,-1117987.25,137290944.0,136172960.0
0,125234,000010.XSHE,2018-03-31,2018-04-27,2018-03-31,223262080.5,,,,,,,,,,,,77282900.34,300544980.84,234759632.83,,,,,,23260514.14,16530063.41,109314738.2,383864948.58,-83319967.74,,3567.12,,,,3567.12,100987.0,,,,,100987.0,-97419.88,,,138000000.0,,30000000.0,168000000.0,131000000.0,7741762.93,,46777000.0,185518762.93,-17518762.93,,-100936150.55,166696058.8,65759908.25
0,146112,000010.XSHE,2019-06-30,2019-08-02,2019-06-30,194226345.27,,,,,,,,,,,3793.48,5648889.08,199879027.83,110225648.23,,,,,,2752669.92,33960164.9,100855486.24,247793969.29,-47914941.46,,,,,,,300147.0,,,,,300147.0,-294509.89,,,226300000.0,,,226300000.0,7000000.0,3608235.03,,,10608235.03,215691764.97,,167482313.62,11628774.53,179105707.33
0,158607,000010.XSHE,2019-09-30,2019-10-31,2019-09-30,229640467.15,,,,,,,,,,,11217809.41,71754829.73,312613106.29,156569868.06,,,,,,16724660.44,2713956.03,123070465.74,299078950.27,13534156.02,,,,,119994362.89,119994362.89,141904.95,,,,,212251904.95,-92257542.06,,,-75300000.0,,,7000000.0,13754793.33,3535708.64,,,17290501.97,-10290501.97,,-89013888.01,179105707.33,90091819.32
0,174291,000010.XSHE,2020-03-31,2020-04-30,2020-03-31,207710789.5,,,,,,,,,,,427.45,17217963.18,224929180.13,357055939.44,,,,,,11007169.95,5319648.84,27017014.76,400399772.99,-175470592.86,,,1000.0,6270000.0,,6271000.0,18093.0,,,,,18093.0,6252907.0,,,,,154782418.75,154782418.75,12618924.6,2986677.68,,37165060.0,52770662.28,102011756.47,,-67205929.39,80937721.51,13731792.12
