,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,101142,000002.XSHE,2016-06-30,2016-08-22,2016-06-30,0.4093,4530729962.23,7300583137.32,957421328.15,4.56,4.57,0.85,9.71,24.98,87.87,13.72,9.71,2.19,1.72,0.31,88.03,11.54,100.28,132.65,60.69,500.28,45.47,311.9,45.47,311.9,9.39,401.52,-0.62,367.65,7.67,442.23
0,135240,000004.XSHE,2018-09-30,2018-10-31,2018-09-30,-0.0545,-3444755.3,-7297954.47,847778.68,-3.54,-2.66,-2.66,-8.56,83.17,107.18,-6.34,-8.56,78.88,7.63,-0.26,83.77,-9.73,75.29,99.88,-6.79,94.63,143.8,28.9,143.8,28.9,-162.96,-203.41,-255.04,-388.33,-175.27,-5866.51
0,245372,000004.XSHE,2018-12-31,2019-04-26,2018-12-31,-0.2105,-19608440.28,-22887921.16,-396954.76,-14.96,-16.6,-4.17,-12.92,80.62,120.68,-13.89,-12.92,66.97,2.11,-0.41,119.04,2.06,110.91,104.04,-45.96,222.29,63.72,8.85,63.72,8.85,-189.18,-138.39,-201.44,-64.28,-226.27,-286.38
0,142,000005.XSHE,2016-03-31,2016-04-27,2016-03-31,-0.0064,-7445716.0,-7062394.29,,-0.59,-0.65,-0.3,-14.79,49.74,116.26,-16.26,-14.79,10.71,46.6,4.91,109.99,,109.43,38.75,-81.28,499.75,221.99,13.17,221.99,13.17,12.07,75.75,20.4,73.46,15.65,73.22
0,240,000007.XSHE,2015-03-31,2015-04-30,2015-03-31,-0.0211,-4658030.12,-5332992.24,,-1.38,-1.32,-0.92,-22.4,81.35,119.21,-19.21,-22.4,49.2,37.96,5.57,95.05,,95.72,102.56,-59.42,309.3,-4.18,-68.93,-4.18,-68.93,49.42,70.41,3.41,75.53,-2.43,79.28
0,239,000007.XSHE,2015-06-30,2015-08-31,2015-06-30,-0.0112,-6059248.87,-6512353.37,,-0.74,-1.74,-0.59,-11.41,81.13,121.24,-7.87,-11.41,45.25,32.24,9.64,220.05,,235.24,101.14,260.96,-1228.54,5.35,10.45,5.35,10.45,-225.28,54.73,-1238.02,43.74,-410.97,47.07
0,237,000007.XSHE,2015-12-31,2016-04-23,2015-12-31,0.1112,24222493.82,6751035.76,-732827.47,7.23,6.82,5.45,287.81,66.62,29.26,63.06,287.81,-16.84,64.51,10.31,23.71,-2.57,94.32,-75.88,1973.21,2789.4,-89.32,-69.22,-89.32,-69.22,133.39,-58.05,208.09,708.89,209.35,705.23
0,236,000007.XSHE,2016-03-31,2016-04-30,2016-03-31,0.0332,-5542950.34,-6058530.07,25541808.34,2.05,-1.49,2.24,140.99,70.1,173.51,236.39,140.99,,129.82,5.79,-34.2,144.18,-72.32,101.32,-84.26,114.63,-70.31,-13.64,-70.31,-13.64,465.33,223.74,286.86,-57.69,257.5,-70.16
0,101145,000007.XSHE,2016-06-30,2016-08-30,2016-06-30,0.0135,-6291953.67,-8375530.69,18871023.5,0.83,-1.67,0.98,62.48,69.51,193.88,117.64,62.48,,170.72,-16.12,-90.48,203.86,-201.7,96.58,-14.24,15.17,-70.9,8.25,-70.9,8.25,534.77,-46.13,259.32,-52.03,221.11,-59.3
0,106258,000007.XSHE,2016-12-31,2017-04-19,2016-12-31,0.2625,-1740079.28,-14031851.24,72236897.81,16.07,-0.46,10.35,521.25,55.72,231.88,547.07,521.25,,120.96,32.67,-24.34,125.3,-2.87,132.62,72.41,-54.9,11.48,-3.78,11.48,-3.78,867.15,1859.18,101.91,522.06,136.09,818.13
