,id,code,statDate,pubDate,statDate.1,cash_equivalents,settlement_provi,lend_capital,trading_assets,bill_receivable,account_receivable,advance_payment,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,interest_receivable,dividend_receivable,other_receivable,bought_sellback_assets,inventories,non_current_asset_in_one_year,other_current_assets,total_current_assets,loan_and_advance,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,other_non_current_assets,total_non_current_assets,total_assets,shortterm_loan,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,trading_liability,notes_payable,accounts_payable,advance_peceipts,sold_buyback_secu_proceeds,commission_payable,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,non_current_liability_in_one_year,other_current_liability,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,other_non_current_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,specific_reserves,surplus_reserve_fund,ordinary_risk_reserve_fund,retained_profit,foreign_currency_report_conv_diff,equities_parent_company_owners,minority_interests,total_owner_equities,total_sheet_owner_equities
0,96142,000002.XSHE,2016-06-30,2016-08-22,2016-06-30,71867990016.0,,,,,2262388992.0,46142824448.0,,,,,,80780091392.0,,427520262144.0,,6240099840.0,634896777216.0,,1153368192.0,,,42834214912.0,13373486080.0,5176313856.0,768597184.0,,,,,1113584512.0,,201689840.0,598068672.0,6183399424.0,6007218176.0,77409943552.0,712306720768.0,2850966272.0,,,,,8340925440.0,106705559552.0,278333161472.0,,,1068429248.0,4357659648.0,438057952.0,,81331339264.0,,,,,26441367552.0,,509867458560.0,36787187712.0,25382948864.0,,,109625920.0,549101120.0,1436313984.0,64265175040.0,574132649984.0,11039152128.0,8078755840.0,,,28068767744.0,,50000973824.0,,97460723712.0,40713322496.0,138174054400.0,712306720768.0
0,130858,000004.XSHE,2018-09-30,2018-10-31,2018-09-30,122886713.96,,,,200000.0,36168912.63,11936824.06,,,,,,12400733.83,,21024670.29,,,204617854.77,,,,,65306130.17,103244.75,29229723.82,5474628.14,,,,,23227346.06,,362043.01,5222034.95,767630.66,397100.0,130089881.56,334707736.33,,,,,,,,2844539.24,,,2540683.5,6134493.3,,,98531325.63,,,,,,,132661177.93,,,800000.0,,,3463150.34,,4263150.34,136924328.27,83976684.0,938767.89,,,11066429.89,,31089383.69,,127071265.47,70712142.59,197783408.06,334707736.33
0,136259,000004.XSHE,2018-12-31,2019-04-26,2018-12-31,49003296.32,,,,,27268319.8,6036605.05,,,,,,922869.52,,,,147006.32,301566235.23,,,,,42005000.0,430990.91,990258.43,,,,,,,,,4052315.53,2132670.07,,49611234.94,351177470.17,,,,,,,5633643.29,400440.41,,,1321442.71,630016.59,,,46194683.07,,,,,,,167050868.44,,,800000.0,,,,,800000.0,167850868.44,83976684.0,935071.56,,,11066429.89,,13410349.93,,109235775.72,74090826.01,183326601.73,351177470.17
0,142,000005.XSHE,2016-03-31,2016-04-27,2016-03-31,111978536.0,,,,405000.0,74310800.0,2869252.5,,,,,,235666928.0,,271416256.0,,,696646784.0,,16284000.0,,735054592.0,2279024.5,24523716.0,36445064.0,258699824.0,,,,,37373204.0,,229539760.0,1170170.5,13100086.0,59664320.0,1414133760.0,2110780544.0,79595400.0,,,,,8891071.0,129477752.0,222800336.0,,,3712242.5,65458940.0,,6.59,340416832.0,,,,,24000000.0,,874352576.0,26000000.0,,,,258089.9062,3391500.0,,29649590.0,904002176.0,1058536832.0,638052416.0,,,149519072.0,,-576576192.0,,1141907200.0,64871160.0,1206778368.0,2110780544.0
0,240,000007.XSHE,2015-03-31,2015-04-30,2015-03-31,2816326.75,,,,,54338944.0,273164480.0,,,,,,104806744.0,,17328538.0,,836179.8125,453291200.0,,1216800.0,,,,30393782.0,75997904.0,,,,,,283083.4062,,9474338.0,19227176.0,894592.9375,79250008.0,216737680.0,670028928.0,,,,,,150000000.0,28060810.0,31708622.0,,,2722351.0,35107468.0,,,59657812.0,,,,,,,307257056.0,,,,,11138646.0,0.0,,11138646.0,318395712.0,230965360.0,423241376.0,,,8998898.0,,-314006048.0,,349919168.0,1714026.875,351633184.0,670028928.0
0,239,000007.XSHE,2015-06-30,2015-08-31,2015-06-30,2546394.75,,,,,52511768.0,142721840.0,,,,,,97822376.0,,16653067.0,,849546.75,313104992.0,,1216800.0,,,,30074882.0,74683872.0,,,,,,272333.4062,,9474338.0,17140816.0,894592.9375,79228072.0,212985712.0,526090688.0,,,,,,15000000.0,25925442.0,29118950.0,,,2504875.5,35172040.0,240000.0,,55487564.0,,,,,,,163448880.0,,,,,13800110.0,,,13800110.0,177248976.0,230965360.0,423241376.0,,,8998898.0,,-316581824.0,,348050624.0,791086.0,348841696.0,526090688.0
0,237,000007.XSHE,2015-12-31,2016-04-23,2015-12-31,218912576.0,,,,,31029434.0,28740.0,,,,,,21737584.0,,15429192.0,,849150.375,287986688.0,,1216800.0,,,,29437084.0,72012824.0,,,,,,250833.4375,,9474338.0,238571.375,708490.5,79038896.0,192377840.0,480364512.0,,,,,,,5720104.5,2355957.25,,,945585.125,34842048.0,,,63664692.0,,,,,,,107528384.0,,,,,,,,,107528384.0,230965360.0,423241376.0,,,8998898.0,,-295143488.0,,369207904.0,3628216.0,372836128.0,480364512.0
0,236,000007.XSHE,2016-03-31,2016-04-30,2016-03-31,20982000.0,,,,,32265328.0,28740.0,,,,,,21611850.0,,15302844.0,,18881500.0,307738912.0,,1216800.0,,,,29118184.0,71656024.0,,,,,,240083.4531,,67576496.0,798417.625,708490.5,79044248.0,250358736.0,558097664.0,,,,,,,5626654.5,3799341.0,,,1048482.8125,33068094.0,,,64548880.0,,,,,,,108091448.0,,,,,,5528144.5,,5528144.5,113619592.0,230965360.0,423241376.0,,,8998898.0,,-287478976.0,,377278400.0,67199656.0,444478048.0,558097664.0
0,96145,000007.XSHE,2016-06-30,2016-08-30,2016-06-30,41359396.0,,,,,31221336.0,128740.0,,,,,,31316620.0,,15173198.0,,812916.1875,325568640.0,,1216800.0,,,,28799286.0,71030008.0,,,,,,229333.4531,,67576496.0,505807.375,1595395.75,41626836.0,212579968.0,538148608.0,,,,,,,5626654.5,2366932.25,,,1575060.75,29265310.0,,,79032112.0,,,,,,,117866072.0,,,,,,9687988.0,,9687988.0,127554056.0,230965360.0,423241376.0,,,8998898.0,,-321808480.0,,340940192.0,69654360.0,410594560.0,538148608.0
0,101230,000007.XSHE,2016-12-31,2017-04-19,2016-12-31,58401568.0,,,,1999677.0,2183074.5,28740.0,,,,,,29967342.0,,108722.4922,,67911.7578,242657552.0,,89616800.0,,,,28161486.0,83871808.0,,,,,,207833.4844,,66909520.0,337365.4062,2605327.25,,271710144.0,514367680.0,,,,,,,5711837.0,1733854.375,,,1772121.125,12262104.0,,,55204436.0,,,,,,,76684352.0,,,,,,451288.9688,,451288.9688,77135640.0,230965360.0,272506848.0,,,8998898.0,,-142000448.0,,370470656.0,66761408.0,437232064.0,514367680.0
